Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script5_ipad_livingroom1.wav.png,m8_script2_iphone_livingroom1.wav.png,0.62058
m8,m8_script5_ipad_livingroom1.wav.png,m8_script2_ipadflat_office1.wav.png,0.49427750000000004
m8,m8_script5_ipad_livingroom1.wav.png,m8_script3_ipadflat_confroom1.wav.png,0.5708025
m8,m8_script5_ipad_livingroom1.wav.png,m8_script1_ipad_balcony1.wav.png,0.5070975
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_livingroom1.wav.png,0.6167075
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_confroom1.wav.png,0.54503
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_confroom2.wav.png,0.5649150000000001
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_iphone_balcony1.wav.png,0.5235125
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_confroom1.wav.png,0.551695
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_bedroom1.wav.png,0.55245
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_office2.wav.png,0.5959625
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_office1.wav.png,0.8211775
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_balcony1.wav.png,0.4998625
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_confroom1.wav.png,0.5363424999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipadflat_office1.wav.png,0.4355175
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_iphone_bedroom1.wav.png,0.5076149999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipadflat_confroom1.wav.png,0.5779675
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_confroom2.wav.png,0.5910875
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_balcony1.wav.png,0.44456249999999997
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_iphone_livingroom1.wav.png,0.5684400000000001
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_confroom1.wav.png,0.50778
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipadflat_office1.wav.png,0.42907249999999997
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipadflat_office1.wav.png,0.48999499999999996
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_bedroom1.wav.png,0.5974025000000001
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_confroom1.wav.png,0.8857625
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_confroom2.wav.png,0.6073425
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_livingroom1.wav.png,0.552895
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_iphone_bedroom1.wav.png,0.608805
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_confroom2.wav.png,0.6133
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_iphone_balcony1.wav.png,0.5632125
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_office1.wav.png,0.502515
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_office2.wav.png,0.8932675
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_iphone_livingroom1.wav.png,0.6781475
