"","Folder","Spectrogram1","Spectrogram2","Similarity"
"8853","m1","m1_script2_ipad_confroom1.wav.png","m1_script2_ipad_office1.wav.png",0.9129275
"16244","f3","f3_script4_ipad_confroom2.wav.png","f3_script4_ipad_confroom1.wav.png",0.912865
"17054","f3","f3_script1_ipad_confroom2.wav.png","f3_script1_ipadflat_office1.wav.png",0.912845
"1064","m8","m8_script2_ipad_bedroom1.wav.png","m8_script2_iphone_livingroom1.wav.png",0.9128325
"12381","m7","m7_script3_ipad_balcony1.wav.png","m7_script3_iphone_balcony1.wav.png",0.9128325
"18565","f2","f2_script2_ipad_confroom2.wav.png","f2_script2_ipad_bedroom1.wav.png",0.9128275
"12145","m7","m7_script2_ipad_office1.wav.png","m7_script2_ipad_confroom1.wav.png",0.9127975
"37449","f1","f1_script2_iphone_bedroom1.wav.png","f1_script2_iphone_livingroom1.wav.png",0.912785
"32416","f6","f6_script4_iphone_bedroom1.wav.png","f6_script4_ipad_bedroom1.wav.png",0.912775
"12350","m7","m7_script3_ipad_office1.wav.png","m7_script3_ipad_bedroom1.wav.png",0.91271
"18911","f2","f2_script5_iphone_bedroom1.wav.png","f2_script5_ipad_bedroom1.wav.png",0.9126825
"7417","m1","m10_script3_iphone_livingroom1.wav.png","m10_script3_ipadflat_confroom1.wav.png",0.91267
"12224","m7","m7_script2_ipadflat_office1.wav.png","m7_script2_ipad_confroom2.wav.png",0.9126525
"2807","m1","m10_script1_iphone_bedroom1.wav.png","m10_script1_ipadflat_confroom1.wav.png",0.9126325
"9152","m6","m6_script2_iphone_livingroom1.wav.png","m6_script2_ipadflat_confroom1.wav.png",0.9126125
"12579","m9","m9_script1_ipad_confroom2.wav.png","m9_script1_ipad_office2.wav.png",0.9126075
"33077","f6","f6_script4_ipad_confroom1.wav.png","f6_script4_ipadflat_confroom1.wav.png",0.912595
"16259","f3","f3_script4_ipad_confroom2.wav.png","f3_script4_ipad_bedroom1.wav.png",0.9125875
"11502","m7","m7_script1_ipad_office2.wav.png","m7_script1_ipad_bedroom1.wav.png",0.9125825
"2753","m1","m10_script3_ipadflat_office1.wav.png","m10_script3_ipad_office1.wav.png",0.9125725
"20182","f5","f5_script5_ipad_confroom1.wav.png","f5_script5_ipad_bedroom1.wav.png",0.91255
"4670","m1","m1_script1_iphone_balcony1.wav.png","m1_script1_ipad_balcony1.wav.png",0.912435
"24516","m2","m2_script4_ipad_livingroom1.wav.png","m2_script4_ipadflat_confroom1.wav.png",0.91235
"4220","m1","m10_script5_ipad_office2.wav.png","m10_script5_iphone_livingroom1.wav.png",0.9123425
"29099","f9","f9_script4_ipad_bedroom1.wav.png","f9_script4_ipad_office1.wav.png",0.9123225
"41359","f8","f8_script3_ipad_confroom1.wav.png","f8_script3_ipad_office2.wav.png",0.91232
"23822","m2","m2_script5_ipad_office2.wav.png","m2_script5_ipad_confroom2.wav.png",0.912265
"29072","f9","f9_script4_ipad_bedroom1.wav.png","f9_script4_ipad_livingroom1.wav.png",0.9122475
"26639","m4","m4_script1_ipad_confroom1.wav.png","m4_script1_ipad_office1.wav.png",0.912235
"13612","m9","m9_script1_ipad_office1.wav.png","m9_script1_ipad_bedroom1.wav.png",0.912225
"11645","m7","m7_script2_ipad_bedroom1.wav.png","m7_script2_ipad_office1.wav.png",0.91222
"16459","f3","f3_script3_ipad_confroom2.wav.png","f3_script3_ipad_livingroom1.wav.png",0.9121875
"25184","m3","m3_script3_ipad_bedroom1.wav.png","m3_script3_iphone_bedroom1.wav.png",0.91216
"7651","m1","m10_script5_ipad_livingroom1.wav.png","m10_script5_iphone_livingroom1.wav.png",0.9121575
"12696","m9","m9_script1_iphone_livingroom1.wav.png","m9_script1_ipad_confroom1.wav.png",0.9121175
"22356","m5","m5_script3_ipad_confroom2.wav.png","m5_script3_ipadflat_confroom1.wav.png",0.9120975
"3610","m1","m1_script5_ipadflat_confroom1.wav.png","m1_script5_ipad_confroom2.wav.png",0.91207
"39043","f1","f1_script2_iphone_livingroom1.wav.png","f1_script2_ipad_livingroom1.wav.png",0.9120325
"39951","f1","f1_script5_ipad_confroom1.wav.png","f1_script5_ipad_office2.wav.png",0.91203
