Word,Count
we,12
stopped,1
under,1
the,19
willows,2
by,8
kempton,1
park,1
and,26
lunched,1
it,11
is,4
a,14
pretty,1
little,2
spot,1
there,3
pleasant,1
grass,1
plateau,1
running,1
along,2
waters,1
edge,1
overhung,1
had,1
just,1
commenced,1
third,1
course,4
bread,3
jam,3
when,1
gentleman,2
in,3
shirtsleeves,1
short,1
pipe,1
came,1
wanted,2
to,17
know,1
if,6
knew,1
that,8
were,3
trespassing,2
said,3
hadnt,1
given,1
matter,2
sufficient,1
consideration,1
as,4
yet,1
enable,1
us,5
arrive,1
at,2
definite,1
conclusion,1
on,3
point,1
but,3
he,10
assured,1
his,5
word,1
would,3
without,1
further,2
hesitation,1
believe,1
gave,1
required,1
assurance,1
thanked,1
him,6
still,1
hung,1
about,3
seemed,1
be,2
dissatisfied,1
so,2
asked,2
was,5
anything,2
could,1
do,2
for,3
harris,3
who,2
of,9
chummy,1
disposition,1
offered,1
bit,2
i,1
fancy,1
must,1
have,2
belonged,1
some,1
society,1
sworn,1
abstain,1
from,1
declined,1
quite,2
gruffly,1
vexed,1
being,1
tempted,1
with,3
added,1
duty,2
turn,1
off,1
ought,1
done,2
man,3
what,3
idea,1
regard,1
best,1
means,1
accomplishing,1
you,3
call,1
wellmade,1
number,2
one,1
size,1
looks,1
hard,1
bony,1
measured,1
up,1
down,2
go,1
consult,1
master,1
then,1
come,1
back,1
chuck,1
both,1
into,1
river,1
never,1
saw,1
any,1
more,1
all,1
really,2
shilling,1
are,2
certain,1
riverside,1
roughs,1
make,1
an,2
income,1
during,1
summer,1
slouching,1
banks,1
blackmailing,1
weakminded,1
noodles,1
this,1
way,1
they,2
represent,1
themselves,1
sent,1
proprietor,1
proper,1
pursue,1
offer,1
your,1
name,1
address,1
leave,1
owner,1
has,1
summon,1
prove,1
damage,1
land,1
sitting,1
majority,1
people,1
intensely,1
lazy,1
timid,1
prefer,1
encourage,1
imposition,1
giving,1
rather,1
than,1
put,1
end,1
exertion,1
firmness,1
