Word,Count
the,51
appearance,1
of,17
island,7
when,2
i,8
came,1
on,6
deck,1
next,1
morning,2
was,16
altogether,1
changed,1
although,2
breeze,1
had,8
now,2
utterly,1
ceased,1
we,3
made,1
a,12
great,1
deal,1
way,2
during,1
night,1
and,26
were,4
lying,1
becalmed,1
about,3
half,1
mile,1
to,11
southeast,1
low,1
eastern,1
coast,1
greycoloured,1
woods,2
covered,1
large,1
part,1
surface,1
this,3
even,1
tint,1
indeed,1
broken,1
up,5
by,3
streaks,1
yellow,1
sandbreak,1
in,8
lower,1
lands,1
many,1
tall,1
trees,1
pine,1
family,1
outtopping,1
others—some,1
singly,1
some,1
clumps,1
but,2
general,1
colouring,1
uniform,1
sad,1
hills,1
ran,1
clear,1
above,2
vegetation,1
spires,2
naked,1
rock,1
all,3
strangely,1
shaped,1
spy,1
glass,1
which,1
three,2
or,3
four,2
hundred,1
feet,1
tallest,1
likewise,1
strangest,1
configuration,1
running,1
sheer,1
from,2
almost,1
every,1
side,1
then,1
suddenly,1
cut,1
off,1
at,3
top,1
like,3
pedestal,1
put,1
statue,1
hispaniola,1
rolling,1
scuppers,1
under,1
ocean,1
swell,1
booms,1
tearing,1
blocks,1
rudder,1
banging,1
fro,1
whole,1
ship,2
creaking,1
groaning,1
jumping,1
manufactory,1
cling,1
tight,1
backstay,1
world,1
turned,1
giddily,1
before,2
my,4
eyes,1
for,4
though,1
good,1
enough,1
sailor,1
there,2
standing,1
still,1
being,2
rolled,1
bottle,1
thing,1
never,1
learned,1
stand,1
without,1
qualm,1
so,2
an,2
empty,1
stomach,1
perhaps,1
it,2
this—perhaps,1
look,2
with,2
its,2
grey,1
melancholy,1
wild,1
stone,1
surf,1
that,2
could,1
both,1
see,1
hear,1
foaming,1
thundering,1
steep,1
beach—at,1
least,1
sun,1
shone,1
bright,1
hot,1
shore,1
birds,1
fishing,1
crying,1
around,1
us,2
you,1
would,2
have,2
thought,3
anyone,1
been,1
glad,1
get,1
land,1
after,1
long,1
sea,1
heart,1
sank,1
as,3
saying,1
is,1
into,1
boots,1
first,1
onward,1
hated,1
very,3
treasure,1
dreary,1
mornings,1
work,2
no,2
sign,2
any,1
wind,1
boats,2
be,1
got,1
out,1
manned,1
warped,1
miles,1
round,1
corner,1
narrow,1
passage,1
haven,1
behind,1
skeleton,1
volunteered,1
one,1
where,1
course,1
business,2
heat,1
sweltering,1
men,2
grumbled,2
fiercely,1
over,1
their,2
anderson,1
command,1
boat,1
instead,1
keeping,1
crew,1
order,1
he,2
loud,1
worst,1
well,1
said,1
oath,1
not,1
forever,1
bad,1
day,1
gone,1
briskly,1
willingly,1
sight,1
relaxed,1
cords,1
discipline,1
