Word,Count
captain,5
nemo,4
stood,2
up,2
i,12
followed,2
him,1
contrived,1
at,4
the,17
rear,1
of,6
dining,1
room,4
a,10
double,1
door,1
opened,1
and,10
entered,1
whose,1
dimensions,1
equaled,1
one,5
had,2
just,2
left,1
it,2
was,2
library,3
tall,1
black–rosewood,1
bookcases,1
inlaid,1
with,5
copperwork,1
held,1
on,6
their,2
wide,1
shelves,2
large,1
number,1
uniformly,1
bound,1
books,5
these,3
furnishings,1
contours,1
lower,1
parts,1
leading,1
to,9
huge,2
couches,1
upholstered,1
in,8
maroon,1
leather,1
curved,1
for,3
maximum,1
comfort,1
light,2
movable,1
reading,1
stands,1
which,3
could,3
be,3
pushed,1
away,1
or,4
pulled,1
near,1
as,1
desired,1
allowed,1
positioned,1
them,2
easy,1
study,2
center,1
table,1
covered,1
pamphlets,2
among,1
some,1
newspapers,2
long,1
out,3
date,1
were,4
visible,1
electric,1
flooded,1
this,5
whole,1
harmonious,1
totality,1
falling,1
from,1
four,1
frosted,1
half,1
globes,1
set,1
scrollwork,1
ceiling,1
stared,1
genuine,1
wonderment,1
so,1
ingeniously,1
laid,1
couldnt,1
believe,2
my,7
eyes,1
told,1
host,1
who,1
stretched,1
couch,1
is,1
that,5
would,1
do,1
credit,1
more,1
than,1
continental,1
palace,1
truly,1
marvel,1
think,1
can,1
go,1
you,4
into,1
deepest,1
seas,1
where,1
find,1
greater,1
silence,1
solitude,1
professor,3
replied,1
did,1
your,2
museum,1
afford,1
such,1
perfect,1
retreat,1
no,2
sir,1
might,1
add,1
its,1
quite,1
humble,1
next,1
yours,1
own,1
6000,1
7000,1
volumes,3
here,1
…,1
12000,1
aronnax,1
theyre,1
sole,1
remaining,1
ties,1
dry,1
land,1
but,2
done,1
shore,1
day,2
nautilus,1
submerged,1
first,1
time,1
under,1
waters,1
purchased,1
last,3
ever,1
since,1
ive,1
chosen,1
humanity,1
longer,1
thinks,1
writes,1
any,1
event,1
are,1
disposal,1
may,1
use,1
freely,1
thanked,1
approached,1
written,2
every,1
language,2
science,1
ethics,1
literature,1
there,1
abundance,1
didnt,1
see,1
single,1
work,1
economics—they,1
seemed,1
strictly,1
banned,1
board,1
odd,1
detail,1
all,1
shelved,1
indiscriminately,1
without,1
regard,1
they,1
jumble,1
proved,1
nautiluss,1
read,1
fluently,1
whatever,1
he,1
chanced,1
pick,1
